name,url
MQSRO - Subscription request options,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q100400_.html
MQSTS - Status reporting structure,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q100520_.html
MQTM - Trigger message,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q100760_.html
MQTMC2 - Trigger message 2 (character format),https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q100940_.html
MQWIH - Work information header,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q101130_.html
MQXP - Exit parameter block,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q101330_.html
MQXQH - Transmission-queue header,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q101500_.html
MQI applications reference,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q089590_.html
IBM MQ API exit parameter structure (MQAXP),https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109610_.html
IBM MQ API exit context structure (MQAXC),https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109620_.html
The exit chain area and exit chain area header (MQACH),https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109630_.html
The exit entry point registration call (MQXEP),https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109660_.html
MQ_DATA_CONV_EXIT - Data conversion exit,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q104120_.html
MQXCNVC - Convert characters,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q104110_.html
MQDXP - Data-conversion exit parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q104100_.html
MQDXP - Data-conversion exit parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q104100_.html
MQXCNVC - Convert characters,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q104110_.html
MQ_DATA_CONV_EXIT - Data conversion exit,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q104120_.html
MQI applications reference,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q089590_.html
MQIEP structure,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q108070_.html
MQ_PUBLISH_EXIT - Publish exit,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q108130_.html
MQ_CHANNEL_EXIT - Channel exit,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q108180_.html
MQ_CHANNEL_AUTO_DEF_EXIT - Channel auto-definition exit,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q108190_.html
MQXWAIT - Wait in exit,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q108200_.html
MQCD - Channel definition,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q108210_.html
MQCXP - Channel exit parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109150_.html
MQXWD - Exit wait descriptor,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109500_.html
MQAI selectors,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089530_.html
mqAddBag,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089150_.html
mqAddByteString,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089160_.html
mqAddByteStringFilter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089170_.html
mqAddInquiry,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089180_.html
mqAddInteger,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089190_.html
mqAddInteger64,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089200_.html
mqAddIntegerFilter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089210_.html
mqAddString,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089220_.html
mqAddStringFilter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089230_.html
mqClearBag,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089260_.html
mqCountItems,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089270_.html
mqCreateBag,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089280_.html
mqDeleteBag,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089290_.html
mqDeleteItem,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089300_.html
mqInquireBag,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089330_.html
mqInquireByteString,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089340_.html
mqInquireByteStringFilter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089350_.html
mqInquireInteger,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089360_.html
mqInquireInteger64,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089370_.html
mqInquireIntegerFilter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089380_.html
mqInquireItemInfo,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089390_.html
mqInquireString,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089400_.html
mqInquireStringFilter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089410_.html
mqSetByteString,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089440_.html
mqSetByteStringFilter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089450_.html
mqSetInteger,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089460_.html
mqSetInteger64,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089470_.html
mqSetIntegerFilter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089480_.html
mqSetString,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089490_.html
mqSetStringFilter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089500_.html
mqTruncateBag,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089520_.html
mqBagToBuffer,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089240_.html
mqBufferToBag,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089250_.html
mqExecute,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089310_.html
mqGetBag,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089320_.html
mqPutBag,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089430_.html
mqPad,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089420_.html
mqTrim,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089510_.html
mqAddBag,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089150_.html
mqAddByteString,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089160_.html
mqAddByteStringFilter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089170_.html
mqAddInquiry,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089180_.html
mqAddInteger,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089190_.html
mqAddInteger64,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089200_.html
mqAddIntegerFilter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089210_.html
mqAddString,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089220_.html
